Key from Zotero;Publication Year;Author;Title;Abstract Note;DOI;Url;exposure_1;exposure_2;exposure_3;exposure_4;exposure_5;exposure_6;exposure_7;exposure_8;exposure_9;sensitivity_1;sensitivity_2;sensitivity_3;sensitivity_4;sensitivity_5;sensitivity_6;sensitivity_7;sensitivity_8;sensitivity_9;sensitivity_10;sensitivity_11;sensitivity_12;sensitivity_13;adaptive_capacity_1;adaptive_capacity_2;adaptive_capacity_3;adaptive_capacity_4;adaptive_capacity_5;adaptive_capacity_6;adaptive_capacity_8;Agrosilvopastoral;Alley cropping with annual crops;Forest farming;Hedgerows, riparian buffers and shelterbelts;Intercropped orchards;Forest grazing;Wood pasture;Alley systems with livestock;Grazed orchards;Mixed farming: Between-farms complementarity;Mixed farming: Between-farms synergy;Mixed farming: Within-farm complementarity;Mixed farming: Within-farm synergy;Southern Europe;Western and Central Europe;Northern Europe;Filters;notes
6AGHGB47;2011;"Ruiz-Mirazo, Jabier; Robles, Ana Belén; González-Rebollar, José Luis";Two-year evaluation of fuelbreaks grazed by livestock in the wildfire prevention program in Andalusia (Spain);Livestock grazing of fuelbreaks is a silvopastoral practice which is promoted in several Mediterranean regions with the objective of improving wildfire prevention. In the grazed fuelbreak network in Andalusia (Spain), over 2000 ha of fuelbreaks were characterized and grazing in them was evaluated in 2008 and 2009. The grazing evaluation was based on several visual assessments of the utilization rate of vegetation by livestock and the general grazing level observed. These parameters were employed to classify fuelbreaks into four levels of accomplishment of the grazing objectives, both through individual assessments (2008) and with the aid of an automatic procedure based on discriminant analysis (2009). The accuracy of the automatic classification functions for 2009 reached 86%. This value remained high (82%) when only the parameter with the most discriminatory power (the mean general grazing level) and predefined thresholds were employed. Based on these results, a streamlined monitoring system is proposed to evaluate grazing in fuelbreaks. Regarding fuelbreak characteristics, larger shrub volumes were found to negatively affect the accomplishment of grazing objectives. For fuelbreak surface area, distance to animal shelter and mean steepness, the data were non-conclusive. Both goat and sheep flocks demonstrated their effectiveness in reducing fuel loads.;10.1016/j.agee.2011.02.002;https://doi.org/10.1016/j.agee.2011.02.002;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;
T83YED4L;2023;"Hugenschmidt, Johannes; Kay, Sonja";Unmasking adaption of tree root structure in agroforestry Systems in Switzerland using GPR;The interest in agroforestry systems has increased considerably in recent years. The systems are more resilient to climate change and offer advantages related to soil health and biodiversity. Although the aboveground impacts of agroforestry systems are well known, the knowledge concerning root growth of trees remains limited. This study tested the applicability of a non-destructive investigation method, the ground penetrating radar (GPR), to detect tree roots. We mapped two 80-year-old pear trees in cropland and investigated the impact of tilled and no-tilled management on the root system architecture especially in deeper soils (>0.6 m). The root mapping method was successful, we determined the main roots of the tree up to a depth of 0.75 m. In addition, we found tillage significantly impacted root distribution. Tillage removed tree roots almost completely to a depth of 0.4 m. The bulk of the roots was present at a depth of 0.6 to 0.75 m (83% of the roots) in the tilled section, while it was found at 0.3 to 0.55 m (74%) in the no-tilled section. Detected roots indicated an overcompensation by additional roots in the tilled section that were not formed without tillage. Overall, we found agroforestry trees were rooting deeper, below the managed cropland and therefore colonise different soil layers. Thus, the potential volume of water and nutrient intake was enlarged, which might enhance the resilience of the combined production systems. In addition, our approach presents a method for future non-destructive and continuous monitoring of tree roots and their development.;10.1016/j.geodrs.2023.e00659;https://doi.org/10.1016/j.geodrs.2023.e00659;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;x;x;x;;
VRLUNP4N;2023;"Vizinho, André; Príncipe, Adriana; Vasconcelos, Ana Cátia; Rebelo, Rui; Branquinho, Cristina; Penha-Lopes, Gil";Using and creating microclimates for cork oak adaptation to climate change;"In Mediterranean climate regions, climate change is increasing aridity and contributing to the mortality rate of Quercus suber, reducing the success of reforestation efforts. Using and creating microclimates is a recommended climate adaptation strategy that needs research. Our hypothesis is that planting Q. suber in north-facing slopes and water lines results in a higher survival rate than those that are planted in ridges and south-facing slopes. Secondly, our hypothesis is that existing shrubs (in this case, Cistus ladanifer) can be used to create microclimatic sheltering and increase the survival of Q. suber plantations. In experiment 1, we tested the survival of Q. suber plantations in four different topographic conditions. For that, 80 Q. suber plants were planted over four different topographic conditions, where soil probes were installed to monitor soil moisture and temperature. Two years after, the results show an increased survival rate in the north-facing slope and water line when compared to the ridge area (p = 0.032). In experiment 2, we tested if planting in the shade of rows of C. ladanifer increases the survival rate of Q. suber plantations. For that, 1200 Q. suber plants were planted; 600 in a Montado open area with no shade and 600 under the shade of rows of C. ladanifer shrubs. A total of 17 months after plantation, there was a significantly higher survival rate of the shaded plants (p = 0.027). We conclude that microclimates created by topography and shrubs can have a significant impact on the survival of Q. suber plantations and discuss the situations in which these can apply.";10.3390/land12030531;https://doi.org/10.3390/land12030531;;;x;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;
EITWK7FN;2013;"Aertsens, Joris; De Nocker, Leo; Gobin, Anne";Valuing the carbon sequestration potential for European agriculture; This paper aims at indicating the potential of agricultural measures in sequestering carbon as an option for climate change mitigation. The related value for society is estimated. Principle results: Agricultural practices like agroforestry, introducing hedges, low and no tillage and cover crops have an important potential to increase carbon sequestration. The total technical potential in the EU-27 is estimated to be 1566milliontonnesCO2-equivalent per year. This corresponds to 37% of all CO2-equivalent emissions in the EU in 2007. The introduction of agroforestry is the measure with the highest potential, i.e. 90% of the total potential of the measures studied. Taking account only of the value for climate change mitigation, the introduction of agroforestry is estimated to have a value of 282euro/ha in 2012 that will gradually increase to 1007euro/ha in 2030. Major conclusions: This implies that there is a huge potential which represents an important value for society in general and for the agricultural sector in specific. At the European level, only in the last few years policy makers have recognized the important benefits of agroforestry. In their rural development programmes some European countries now support farmers to introduce agroforestry. But still the current level of support is only a small fraction of the societal value of agroforestry. If this value would be fully recognized by internalizing the positive externality, we expect that agroforestry will be introduced to a very large extent in the next decades, in Europe and the rest of the world, and this will importantly change the rural landscapes. © 2012 Elsevier Ltd.;10.1016/j.landusepol.2012.09.003;https://doi.org/10.1016/j.landusepol.2012.09.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;x;x;x;x;x;x;;;;;x;x;x;;carbon sequestration
3ECT5BUQ;2020;"Bayala, J.; Prieto, I.";Water acquisition, sharing and redistribution by roots: applications to agroforestry systems;Aims: In the face of problems caused by ‘intensive agriculture’ dominated by large areas of monocultures, mixed intercropping mimicking natural ecosystems has been reported to constitute a viable solution to increase and stabilize productivity. When designing such systems, root niche separation was thought to be a prerequisite to optimize production. Methods: This paper reviews the beneficial and adverse effects of trees and crops on water acquisition and redistribution in agroforestry ecosystems using the concepts of competition and facilitation between plants in link with root functional traits. Results: The results of the review showed that the reality was more complex leading agroforestry practitioners to adopt management practices to induce a separation in root activities thus avoid competition, particularly for water. Water uptake by plant roots is triggered by the water potential difference between the soil and the atmosphere when leaf stomata are open and depends largely on the root exploration capacity of the plant. Thus, root water uptake dynamics are strongly related to root-length densities and root surface areas. In addition, plants with deep roots are able to lift up or redistribute water to the upper layers through a process known as hydraulic lift, potentially acting as “bioirrigators” to adjacent plants. The redistributed water could be of importance not only in regulating plant water status, e.g. by enhancing transpiration, but also in increasing the survival and growth of associated crops in mixed systems. Conclusions: Even though some more work is still needed to assess the volume of water transferred to neighbors, hydraulic lift could constitute an ecological viable mechanism to buffer against droughts and ensure productivity in regions with erratic rainfall. Giving the difficulty in measuring the above-mentioned aspects in the field, modeling of some of the most relevant parameters to quantify them might inform the design of future empirical studies.;10.1007/s11104-019-04173-z;https://doi.org/10.1007/s11104-019-04173-z;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;x;x;x;x;x;x;x;x;x;;;;;x;x;x;;
FQENMZTF;2001;Augé, Robert M.;Water relations, drought and vesicular-arbuscular mycorrhizal symbiosis;Vesicular-arbuscular mycorrhizal fungi can affect the water balance of both amply watered and draughted host plants. This review summarizes these effects and possible causal mechanisms. Also discussed are host drought resistance and the influence of soil drying on the fungi.;10.1007/s005720100097;https://doi.org/10.1007/s005720100097;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;
BEGP8FYW;2000;"Droppelmann, K. J.; Lehmann, J.; Ephrath, J. E.; Berliner, P. R.";Water use efficiency and uptake patterns in a runoff agroforestry system in an arid environment;Water is the most limiting factor for plant production in arid to semiarid regions. In order to overcome this limitation surface runoff water can be used to supplement seasonal rainfall. During 1996 we conducted a runoff irrigated agroforestry field trial in the Turkana district of Northern Kenya. The effects of two different Acacia saligna (Labill.) H. Wendl. tree planting densities (2500 and 833 trees per ha), tree pruning (no pruning vs. pruning) and annual intercrops (no intercrop vs. intercrop: Sorghum bicolor (L.) Moench during the first season and Vigna unguiculata (L.) Walp. during the second season) on water use were investigated. The annual crops were also grown as monocrops. Water consumption ranged from 585 to 840 mm during the first season (only treatments including trees). During the second season, which was shorter and the plants relied solely on stored water in the soil profile, water consumption was less than half of that during the first season. Highest water consumptions were found for non-pruned trees at high density and the lowest were found for the annual crops grown as monocrops. Tree pruning decreased water uptake compared to non-pruned trees but soil moisture depletion pattern showed complementarity in water uptake between pruned trees and annual intercrops. The highest values of water use efficiency for an individual treatment were achieved when the pruned trees at high density were intercropped with sorghum (1.59 kg m-3) and cowpea (1.21 kg m-3). Intercropping and high tree density increased water use efficiency in our runoff agro-forestry trial. We ascribe the observed improvement in water use efficiency to the reduction of unproductive water loss from the bare soil.;10.1023/A:1006352623333;https://doi.org/10.1023/A:1006352623333;;;;;;;x;;;x;x;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
MXRRWXVH;2018;"Arenas-Corraliza, M. Guadalupe; López-Díaz, M. Lourdes; Moreno, Gerardo";Winter cereal production in a Mediterranean silvoarable walnut system in the face of climate change;One of the foreseeable consequences of climate change is a reduction in crop yields. In recent years, agroforestry systems have been identified as a strategy for climate change mitigation and adaptation. In this study we assess the potential of a silvoarable system to protect crops against extreme climate events. We studied a 9-year-old hybrid walnut silvoarable system (Juglans x intermedia Mj209xRa) intercropped with cultivars of two winter cereals – wheat (Triticum aestivum L.) and barley (Hordeum vulgare L.) – for three consecutive years and compared it with monocrops and pure tree plantations. The parameters studied were grain and total biomass yield, harvest index, grain size and tree diameter increment. Plant phenology and soil and plant nutrients were also examined. Climate conditions and tree presence conditioned cereal yields, and the responses to silvoarable conditions differed among cereal species and cultivars. The silvoarable system with barley had higher production than monocrops in years with early heat events (yield increment of 55% in the first year and 15% in the second year). For wheat, no positive effect of trees in the silvoarable system was found, although grain quality improved significantly (2.56% and 2.76% N grain content in monocrops and silvoarable systems, respectively). Tree growth, measured as diameter at breast height increment, was lower in the silvoarable system (2.06 cm at the end of the study) than in the monospecific plantation (2.83 cm in the same period). The land equivalent ratio was always higher than 1 (1.34–2.08), showing that the silvoarable system was more productive than sole pure plantations and cereal monocrops.;10.1016/j.agee.2018.05.024;https://doi.org/10.1016/j.agee.2018.05.024;;;;;;x;x;;;;;;;;;x;;x;;;;;;;;;;;;;x;;;;;;;;;;;;x;x;x;;
4PKH7MGL;2019;"Guillot, Esther; Hinsinger, Philippe; Dufour, Lydie; Roy, Jacques; Bertrand, Isabelle";With or without trees: Resistance and resilience of soil microbial communities to drought and heat stress in a Mediterranean agroforestry system;Soil microbial communities in Mediterranean agroecosystems experience long drought periods that are typically combined with heat and frequently interspersed with rapid rewetting events. Agroforestry systems are of growing interest and viewed as possible alternative to conventional cropping systems in the context of climate change. Our aim was to evaluate the resistance and resilience of soil microbial communities against drought with or without heat stress at different distances from the tree row in an agroforestry system as compared to a conventional cropping system. Soils were sampled at several distances from the tree row in a 21-year-old walnut agroforestry system and a contiguous conventional crop in Southern France. We simulated two cycles of drying-rewetting under controlled conditions and applied three distinct treatments: control (without stress), drought and drought combined with heat stress. We monitored microbial respiration over the incubation period. The inorganic N and microbial biomass C, N and P contents (MBC, MBN and MBP) were assessed during the drying period (resistance), just after rewetting and at the end of the experiment (resilience), while bacterial and fungal abundances were measured at the end of the resistance period. We demonstrated that an agroforestry system can induce spatial heterogeneity in soil microbial biomass and functions under control conditions. Microbial biomass and activity, soil organic matter (SOM) and mineral N levels increased on the tree row. This spatial heterogeneity pattern was preserved for soil microbial response to drought combined or not with heat. Microorganisms sampled in the middle of the interrow or in the conventional crop exhibited highest biomass resistance and lowest resilience when facing combined drought and heat stress. Soil microbial biomass resistance and resilience were similar whatever the spatial position when microorganisms had to deal with drought stress only. Our findings suggested that despite higher SOM content, microbial biomass and activity at and near the tree row, the legacy effect of the tree row did not lead to higher ecological stability under stressful climatic conditions. We also demonstrated that soil microorganisms can considerably change their stoichiometry depending on the stress treatment. Soil microorganisms showed elevated MBC:MBN, MBC:MBP and variable MBN:MBP during the resistance period. A high stoichiometric flexibility of microorganisms was observed when exposed to drought stress only, while stoichiometric changes were irreversible when exposed to combined drought and heat stress.;10.1016/j.soilbio.2018.11.011;https://doi.org/10.1016/j.soilbio.2018.11.011;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;x;x;;
XFCVRSJI;2023;"Amassaghrou, Asmae; Barkaoui, Karim; Bouaziz, Ahmed; Alaoui, Si Bennasseur; Fatemi, Zain El Abidine; Daoui, Khalid";Yield and related traits of three legume crops grown in olive-based agroforestry under an intense drought in the South Mediterranean;Heat and drought stresses have become more frequent and intense in the Mediterranean, strongly influencing arable crop phenology, growth, and grain yield. Agroforestry systems can effectively buffer the adverse climate conditions and stabilize or even increase crop yield under climate change. However, the positive effects of agroforestry remain uncertain due to the possible intense competition between trees and crops, especially for legume crops that have been less studied than cereals in such context. This study aimed to assess the response of the phenology, growth, grain yield, and yield-related traits of chickpea (Cicer arietinum), faba bean (Vicia faba), and lentil (Lens culinaris) to olive-based agroforestry (AFS) as compared to sole crops system (SCS) in the South of the Mediterranean. We conducted a field experiment during two growing seasons marked by an intense drought, either at the beginning (year 1) or at the end (year 2) of the crop cycle. Crop growth and yield were lower in year 1 than in year 2, reflecting the adverse growing conditions caused by the early drought. They were also lower in AFS than in SCS for both years, indicating that trees had competitive effects on crops. In year 1, the yield loss of grains in AFS was 66 % for lentil, 47 % for chickpea, and 43 % for faba bean compared to SCS, confirming the greater shade sensitivity of lentil. In year 2, the reduction was significantly smaller and was about 46 %, 34 %, 38 % for lentil, chickpea and, faba bean, respectively. The number of pods and grains were the most affected yield components by agroforestry and drought timing across the three legumes crops. Similar responses were found when comparing crops at different distances to trees within the AFS field. Crops generally had lower biomass and yield, explained by fewer pods and grains, on the northern side of trees compared to the southern side of trees or the middle of tree inter-rows, causing significant spatial heterogeneity in crops. However, lentil and chickpea had a positive response to shade during the early drought year while a negative response during the late drought year, suggesting that the benefits of the microclimate created by olive trees express depending on drought timing and crop physiology. Our study supports legume integration into AFS, suggesting that chickpea should be considered during high-stress conditions, while faba bean should be preferred during low-stress conditions.;10.1016/j.sjbs.2023.103597;https://doi.org/10.1016/j.sjbs.2023.103597;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;x;;;;reduced crop yields
ZHL6NEH3;2012;"Ryschawy, J.; Choisis, N.; Choisis, J.P.; Joannon, A.; Gibon, A.";Mixed crop-livestock systems: an economic and environmental-friendly way of farming?;Intensification and specialisation of agriculture in developed countries enabled productivity to be improved but had detrimental impacts on the environment and threatened the economic viability of a huge number of farms. The combination of livestock and crops, which was very common in the past, is assumed to be a viable alternative to specialised livestock or cropping systems. Mixed crop-livestock systems can improve nutrient cycling while reducing chemical inputs and generate economies of scope at farm level. Most assumptions underlying these views are based on theoretical and experimental evidence. Very few assessments of their environmental and economic advantages have nevertheless been undertaken in real-world farming conditions. In this paper, we present a comparative assessment of the environmental and economic performances of mixed crop-livestock farms v. specialised farms among the farm population of the French ‘Coteaux de Gascogne’. In this hilly region, half of the farms currently use a mixed crop-livestock system including beef cattle and cash crops, the remaining farms being specialised in either crops or cattle. Data were collected through an exhaustive survey of farms located in our study area. The economic performances of farming systems were assessed on 48 farms on the basis of (i) overall gross margin, (ii) production costs and (iii) analysis of the sensitivity of gross margins to fluctuations in the price of inputs and outputs. The environmental dimension was analysed through (i) characterisation of farmers’ crop management practices, (ii) analysis of farm land use diversity and (iii) nitrogen farm-gate balance. Local mixed crop-livestock farms did not have significantly higher overall gross margins than specialised farms but were less sensitive than dairy and crop farms to fluctuations in the price of inputs and outputs considered. Mixed crop-livestock farms had lower costs than crop farms, while beef farms had the lowest costs as they are grass-based systems. Concerning crop management practices, our results revealed an intensification gradient from low to high input farming systems. Beyond some general trends, a wide range of management practices and levels of intensification were observed among farms with a similar production system. Mixed crop-livestock farms were very heterogeneous with respect to the use of inputs. Nevertheless, our study revealed a lower potential for nitrogen pollution in mixed crop-livestock and beef production systems than in dairy and crop farming systems. Even if a wide variability exists within system, mixed crop-livestock systems appear to be a way for an environmental and economical sustainable agriculture.;10.1017/S1751731112000675;https://doi.org/10.1017/S1751731112000675;;;;;;;;;;;;;;;;;;x;x;;;;x;x;;;;;;;;;;;;;;;x;x;x;x;;;;;
ZM567N83;2021;"Bergmeier, Erwin; Capelo, Jorge; Di Pietro, Romeo; Guarino, Riccardo; Kavgacı, Ali; Loidi, Javier; Tsiripidis, Ioannis; Xystrakis, Fotios";‘Back to the Future’—Oak wood-pasture for wildfire prevention in the Mediterranean;In the summer of 2021, enormous wildfires in the Mediterranean eliminated huge areas of mainly coniferous forest, destroyed adjacent settlements and claimed the lives of many people. The fires indicate effects of climate change and expose consequences of rural demographic changes, deficits in regional and touristic development planning and shortcomings in forest policy. This forum article highlights the dimensions of the problem, calls for a paradigm shift and shows solutions. Land abandonment, woody plant encroachment and non-reflective afforestation are leading to increasing amounts of combustible biomass. To prevent disastrous fires in future, fundamental changes in tree species composition, forest structure and management are essential. Plantations of reseeding pines are to be substituted by spacious or periodically open woodlands of long-lived trees with resprouting capacity such as Mediterranean oaks. Biomass-reducing practices including wood-pasture have to be revived in rural and peri-urban areas. Exemplary fire-resistant multifunctional oak woodlands occur throughout the Mediterranean. Urgent and medium-term measures in the burnt areas include promoting natural ecosystem regeneration, developing regionalized seed banks and nurseries to support native genetic resources, fostering vegetation mosaics of groves and multiple-use open and coppice woodland maintained by traditional practices, and in general forest management aiming at fuel biomass reduction and a policy counteracting land abandonment.;10.3897/pls2021582/04;https://doi.org/10.3897/pls2021582/04;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;x;;;;
LU5B5CWY;2019;"Crous-Duran, Josep; Graves, Anil R.; Garcia-De-Jalón, Silvestre; Paulo, Joana A.; Tomé, Margarida; Palma, João H.N. N";Assessing food sustainable intensification potential of agroforestry using a carbon balance method;Food security, climate change mitigation, and land use challenges are interlinked and need to be considered simultaneously. One possible solution is sustainable intensification, which is the practice of increasing food production per area of land whilst also reducing the environmental impacts associated with this. Agroforestry has been stated to be a practice that meets this definition. In this study, a new methodology is presented to assess the potential of different management options as sustainable intensification practices. The methodology is based on comparing the carbon emissions associated with the production of food and the carbon sequestered for that same activity for a particular quantity of food produced over a specific area and over a specific time. The resulting indicator, the “carbon balance” is the difference between the greenhouse gasses emitted (considered as negative values) and carbon sequestered (positive values) estimated in Mg CO 2eq per Mg of food produced on one hectare of land for one year. The carbon balance quantifies the global warming potential associated with sustainable intensification by integrating a process-based model with life cycle analysis and is able to estimate above-and below-ground biomass and soil carbon content. This methodology is tested in Portugal for wheat production under crop monoculture and agroforestry systems. The results show agroforestry to be a suitable practice for sustainable intensification compared to a crop monoculture as it just slightly decreased wheat yields whilst providing a positive carbon balance from year 50 onwards of approximately 1 Mg of CO 2eq sequestered per Mg of wheat produced.;10.3832/ifor2578-011;https://doi.org/10.3832/ifor2578-011;;;;;;;;;;;x;;;;;;;x;;;;;;;;;;;;x;x;;;x;;;;;;;;;x;x;x;;
IYS8XSKE;2005;"Diakosavvas, Dimitris.; Organisation for Economic Co-operation and Development. Directorate for Food, Agriculture and Fisheries.";The arable crop sector.;"Also published in French under the title: Agriculture, échanges et environnement: le secteur des grandes cultures. ""The objective of this study is to improve understanding of the linkages between agriculture, trade and the environment in OECD countries by examining how they relate to the arable crop sector (grains, rice and oilseeds) ... The study was carried out in the Policies and Environment Division of the Directorate for Food, Agriculture and Fisheries, with Dimitris Diakosavvas as the princinpal author.""--Page 3. This study takes an in-depth look at the arable crops sector in OECD countries and draws some conclusions about the impacts of agricultural support policies, trade liberalisation, agri-environmental payments, and agri-ennvironmental regulations. It contains economic and structural data, agri-environmental indicators for the arable crops sector, and analysis of the policy measures supporting arable crops farming and addressing environmental issues both at the aggregate country level and regional levels. This is the third in a series of in-depth studies being undertaken by the OECD to investigate the linkages between agriculture, trade and the environment. The first study on the pig sector was published in 2003, and the second study on the dairy sector was published in 2004. Acronyms and Abbreviations Technical Terms -- Highlights -- Introduction -- Economic and Structural Aspects of the Arable Crop Sector -- Environmental Impacts Associated with Production -- Agricultural Policies Affecting the Arable Crop Sector -- Policy Measures Addressing Environmental Issues in the Arable Crop Sector -- Environmental Effects of Agricultural Support Policies for Arable Crops -- Environmental Impacts of Multilateral Agricultural Trade Liberalisation on Arable Crops -- An Analysis of the Trade Effects of Agri-Environmental Payments and Regulations on Arable Crops -- Bibliography.";10.1787/9789264009974-en;https://doi.org/10.1787/9789264009974-en;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;summary of arable crop sector - don't include
PTHDVPLT;2019;"Duan, Z P; Gan, Y W; Wang, B J; Hao, X D; Xu, W L; Zhang, W; Li, L H";Interspecific interaction alters root morphology in young walnut/wheat agroforestry systems in northwest China;The objective of this experiment was to learn more about root morphology and spatial distri- bution in a specify walnut (Juglans regia L.)/wheat (Triticum aestivum L.) intercropping system. The effects of intercropping on aboveground yield and land equivalent ratio (LER) were also determined. The experiment was conducted at Hetian in the southern part of the Xinjiang Uyghur Autonomous Region. The results showed that walnut/wheat intercropping reduced the aboveground yield of both component species. However, the LER of the intercropping system averaged 1.62. This meant that intercropping increased land use efficiency. Intercropping signifi- cantly reduced the root length density, root surface area density, and root diameter (RD) of both compo- nent species compared with sole-cropping. In contrast, intercropping significantly increased the specific root length of walnut. Root competition between species was the greatest in the 0–40 cm soil depth. Root competition caused uneven distribution of RD and specific root length. The plasticity of root morphology and spatial distribution is key for adapting to compe- tition and maximizing water and nutrient uptake in walnut/wheat agroforestry systems.;10.1007/s10457-017-0133-2;https://doi.org/10.1007/s10457-017-0133-2;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;x;;;;;;;;;x;x;x;;
XQ5IAG5M;2009;Dyreborg, Johnny;Arbejdsmiljø er for vigtig en sag at overlade til sikkerhedsorganisationen — virksomhedernes nye omverden og det sociale ansvar;Arbejdsmiljø er blevet et vigtigt indsatsområde for virksomheder og organisationer. Dette skifte i strategisk fokus fremstilles nogle gange som en ny givtig forretningsstrategi for virksomheder, der vil gå længere end det loven foreskriver, som det er tilfældet i dele af den offentlige og vi- denskabelige debat om virksomhedernes sociale ansvar. Men spørgsmålet er om virksomheder først nu er ved at blive sociale? I artiklen argumenteres der for at dette skifte i fokus dækker over institutionelle forandringer der har betydning for virksomhedernes arbejdsmiljøarbejde, hvor perspektivet har ændret sig fra et regulativt perspektiv, til et demokratisk perspektiv, og endelig til et mere omverdensstyret perspektiv i virksomhedernes håndtering af arbejdsmiljø. Udadtil betyder dette at virksomheder må fremhæve deres samfundsansvar ved at leve op til bestemte standarder og performancemål for arbejdsmiljø. Indadtil betyder det at medarbejderne kan opleve at blive ‘hægtet af’ sikkerhedsarbejdet, efterhånden som virksomhedernes sociale ansvar tiltager i betydning. Disse forandringer dokumenteres med case analyser fra nogle af danmarks- historiens største byggeprojekter.;10.7146/tfa.v11i1.108765;https://doi.org/10.7146/tfa.v11i1.108765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DYUND3G2;2021;"Edwards-Callaway, Lily N.; Cramer, M. Caitlin; Cadaret, Caitlin N.; Bigler, Elizabeth J.; Engle, Terry E.; Wagner, John J.; Clark, Daniel L.";Impacts of shade on cattle well-being in the beef supply chain;Shade is a mechanism to reduce heat load providing cattle with an environment supportive of their welfare needs. Although heat stress has been extensively reviewed, researched, and addressed in dairy production systems, it has not been investigated in the same manner in the beef cattle supply chain. Like all animals, beef cattle are susceptible to heat stress if they are unable to dissipate heat during times of elevated ambient temperatures. There are many factors that impact heat stress susceptibility in beef cattle throughout the different supply chain sectors, many of which relate to the production system, that is, availability of shade, microclimate of environment, and nutrition management. The results from studies evaluating the effects of shade on production and welfare are difficult to compare due to variation in structural design, construction materials used, height, shape, and area of shade provided. Additionally, depending on operation location, shade m or may not be beneficial during all times of the year, which can influence the decision to make shade a permanent part of management systems. Shade has been shown to lessen the physiologic response of cattle to heat stress. Shaded cattle exhibit lower respiration rates, body temperatures, and panting scores compared with unshaded cattle in weather that increases the risk of heat stress. Results from studies investigating the provision of shade indicate that cattle seek shade in hot weather. The impact of shade on behavioral patterns is inconsistent in the current body of research, with some studies indicating that shade provision impacts behavior and other studies reporting no difference between shaded and unshaded groups. Analysis of performance and carcass characteristics across feedlot studies demonstrated that shaded cattle had increased ADG, improved feed efficiency, HCW, and dressing percentage when compared with cattle without shade. Despite the documented benefits of shade, current industry statistics, although severely limited in scope, indicate low shade implementation rates in feedlots and data in other supply chain sectors do not exist. Industry guidelines and third-party on-farm certification programs articulate the critical need for protection from extreme weather but are not consistent in providing specific recommendations and requirements. Future efforts should include: updated economic analyses of cost vs. benefit of shade implementation, exploration of producer perspectives and needs relative to shade, consideration of shade impacts in the cow-calf and slaughter plant segments of the supply chain, and integration of indicators of affective (mental) state and preference in research studies to enhance the holistic assessment of cattle welfare.;10.1093/jas/skaa375;https://doi.org/10.1093/jas/skaa375;;;;;;x;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;x;x;x;;;;;x;x;x;;
7ZUFJLX3;2020;"Egan, Paul; Dicks, Lynn V; Hokkanen, Heikki M T; Stenberg, Johan A";Delivering integrated pest and pollinator management;The need to reduce pollinator exposure to harmful pesticides has led to calls to expedite adoption of integrated pest management (IPM). We make the case that IPM is not explicitly ‘pollinator-friendly’, but rather must be adapted to reduce impacts on pollinators, and to facilitate synergies between crop pollination and pest control. To reconcile these diverse management needs, we introduce a systematic framework for ‘integrated pest and pollinator management’ (IPPM). We also highlight novel tools to unify monitoring and economic decision making processes for IPPM, and outline key policy actions and knowledge gaps. We propose that IPPM is needed to promote more coordinated ecosystem-based strategies for sustainable food production, against the backdrop of increasing pesticide regulation and pollinator dependency in agriculture.;10.1016/j.tplants.2020.01.006;https://doi.org/10.1016/j.tplants.2020.01.006;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;
